Date,Price,Open,High,Low,Change %
21-Jul-20,20.29,19.55,20.29,19.54,3.84%
20-Jul-20,19.54,19.41,19.59,19.13,0.67%
19-Jul-20,19.41,19.39,19.42,19.31,1.41%
17-Jul-20,19.14,19.12,19.21,18.88,0.26%
16-Jul-20,19.09,19.09,19.21,18.96,0.10%
15-Jul-20,19.07,18.8,19.16,18.68,1.60%
14-Jul-20,18.77,18.25,18.94,18.09,2.74%
13-Jul-20,18.27,18.41,18.7,18.23,-0.76%
12-Jul-20,18.41,18.5,18.56,18.34,0.22%
10-Jul-20,18.37,17.88,18.38,17.5,2.74%
09-Jul-20,17.88,18.16,18.28,17.66,-1.70%
08-Jul-20,18.19,17.85,18.23,17.82,1.85%
07-Jul-20,17.86,17.88,18.05,17.62,-0.17%
06-Jul-20,17.89,17.69,18,17.62,1.19%
05-Jul-20,17.68,17.63,17.73,17.61,1.73%
03-Jul-20,17.38,17.24,17.39,17.16,0.75%
02-Jul-20,17.25,16.88,17.43,16.86,2.31%
01-Jul-20,16.86,16.73,17.13,16.55,0.78%
30-Jun-20,16.73,16.66,16.89,16.45,0.54%
29-Jun-20,16.64,15.96,16.75,15.86,4.26%
28-Jun-20,15.96,15.98,16,15.89,0.57%
26-Jun-20,15.87,16.07,16.25,15.7,-1.37%
25-Jun-20,16.09,15.63,16.18,15.38,3.01%
24-Jun-20,15.62,16.29,16.48,15.34,-4.05%
23-Jun-20,16.28,16.45,16.8,16.05,-1.09%
22-Jun-20,16.46,15.89,16.57,15.84,3.46%
21-Jun-20,15.91,15.59,15.96,15.59,1.92%
19-Jun-20,15.61,15.52,15.95,15.25,0.45%
18-Jun-20,15.54,14.89,15.61,14.79,4.09%
17-Jun-20,14.93,14.96,15.32,14.79,-0.20%
16-Jun-20,14.96,14.66,15.41,14.41,1.77%
15-Jun-20,14.7,13.96,14.79,13.62,5.30%
14-Jun-20,13.96,14.14,14.14,13.9,-1.13%
12-Jun-20,14.12,13.73,14.23,13.32,2.99%
11-Jun-20,13.71,14.62,14.68,13.66,-6.22%
10-Jun-20,14.62,14.43,15.04,14.32,1.18%
09-Jun-20,14.45,14.46,14.71,14.04,-0.07%
08-Jun-20,14.46,14.98,14.98,14.25,-3.47%
07-Jun-20,14.98,14.68,14.99,14.64,4.54%
05-Jun-20,14.33,13.79,14.55,13.73,4.07%
04-Jun-20,13.77,13.59,13.86,13.41,1.32%
03-Jun-20,13.59,13.48,13.78,13.23,0.82%
02-Jun-20,13.48,12.91,13.54,12.88,4.25%
01-Jun-20,12.93,12.77,13.02,12.55,1.25%
31-May-20,12.77,12.64,12.97,12.63,0.79%
29-May-20,12.67,12.07,12.77,11.82,4.97%
28-May-20,12.07,11.59,12.27,11.48,4.14%
27-May-20,11.59,12.18,12.23,11.41,-4.84%
26-May-20,12.18,12.04,12.32,11.89,1.33%
25-May-20,12.02,11.68,12.07,11.59,3.09%
24-May-20,11.66,11.79,11.8,11.54,0.26%
22-May-20,11.63,11.75,11.77,10.88,-1.02%
21-May-20,11.75,11.5,11.8,11.46,2.17%
20-May-20,11.5,10.99,11.57,10.98,4.55%
19-May-20,11,11.2,11.23,10.88,-1.87%
18-May-20,11.21,10.48,11.23,10.45,7.17%
17-May-20,10.46,10.29,10.48,10.25,2.85%
15-May-20,10.17,9.8,10.2,9.68,3.88%
14-May-20,9.79,9.41,9.88,9.29,4.04%
13-May-20,9.41,9.35,9.64,9.29,0.32%
12-May-20,9.38,9.48,9.63,9.32,-0.85%
11-May-20,9.46,9.7,9.88,9.39,-2.57%
10-May-20,9.71,9.71,9.75,9.63,1.04%
08-May-20,9.61,9.12,9.68,9.09,5.37%
07-May-20,9.12,9.18,9.63,8.95,0.11%
06-May-20,9.11,9.66,9.66,8.96,-5.89%
05-May-20,9.68,8.75,9.75,8.66,10.88%
04-May-20,8.73,8.27,8.82,8.12,5.56%
03-May-20,8.27,8.32,8.34,8.21,-0.48%
01-May-20,8.31,8.61,8.79,8.16,-3.60%
30-Apr-20,8.62,8.15,8.75,7.96,5.64%
29-Apr-20,8.16,7.77,8.16,7.77,4.75%
28-Apr-20,7.79,7.78,8.13,7.64,0.00%
27-Apr-20,7.79,8.07,8.07,7.64,-3.47%
26-Apr-20,8.07,8.02,8.09,8,1.00%
24-Apr-20,7.99,8.16,8.32,7.79,-2.68%
23-Apr-20,8.21,8.04,8.54,7.88,1.99%
22-Apr-20,8.05,7.97,8.23,6.93,0.88%
21-Apr-20,7.98,11.99,12.71,6.79,-33.28%
20-Apr-20,11.96,17.05,17.21,11.34,-29.85%
19-Apr-20,17.05,17.73,17.81,16.91,-6.11%
17-Apr-20,18.16,19.89,20.04,17.27,-8.65%
16-Apr-20,19.88,20.29,20.45,19.38,-1.83%
15-Apr-20,20.25,20.77,20.8,19.14,-2.60%
14-Apr-20,20.79,22.75,22.82,19.88,-8.82%
13-Apr-20,22.8,23.13,24.44,22.21,-1.38%
12-Apr-20,23.12,24.46,24.46,21.95,0.30%
09-Apr-20,23.05,26.25,28.12,22.45,-12.12%
08-Apr-20,26.23,24.45,26.38,23.57,7.28%
07-Apr-20,24.45,26.73,27.02,23.37,-8.60%
06-Apr-20,26.75,26.14,27.98,25.62,2.37%
05-Apr-20,26.13,25.88,26.3,25.2,-8.32%
03-Apr-20,28.5,24.42,28.83,23.27,16.52%
02-Apr-20,24.46,21.01,26.94,20.54,16.37%
01-Apr-20,21.02,20.06,21.3,19.71,4.84%
31-Mar-20,20.05,20.27,21.59,19.78,-1.09%
30-Mar-20,20.27,20.07,20.59,19.04,1.10%
29-Mar-20,20.05,20.63,20.63,19.69,-6.87%
27-Mar-20,21.53,22.77,23.04,20.61,-5.45%
26-Mar-20,22.77,23.84,24.27,22.05,-4.69%
25-Mar-20,23.89,24.25,24.82,22.59,-1.48%
24-Mar-20,24.25,23.98,24.75,22.73,0.83%
23-Mar-20,24.05,21.2,24.2,21.2,13.28%
22-Mar-20,21.23,21.09,21.34,20.5,-8.49%
20-Mar-20,23.2,25.98,27.97,22.02,-10.77%
19-Mar-20,26,23.38,27.61,21.34,10.31%
18-Mar-20,23.57,26.5,27.16,20.05,-10.99%
17-Mar-20,26.48,29.11,30.28,26.21,-9.10%
16-Mar-20,29.13,30.45,31.52,28.12,-4.33%
15-Mar-20,30.45,30.21,30.61,29.75,-7.67%
13-Mar-20,32.98,30.96,33.84,30.61,6.32%
12-Mar-20,31.02,33.12,33.51,29.99,-6.26%
11-Mar-20,33.09,34.08,36.23,32.53,-2.71%
10-Mar-20,34.01,32.57,34.95,31.75,5.03%
09-Mar-20,32.38,32.47,34.77,27.3,-0.22%
08-Mar-20,32.45,32.5,33.51,32.3,-21.86%
06-Mar-20,41.53,46.14,46.27,40.98,-9.95%
05-Mar-20,46.12,47.23,47.45,45.55,-2.35%
04-Mar-20,47.23,46.91,48.3,46.55,0.68%
03-Mar-20,46.91,47.8,48.52,46.38,-1.86%
02-Mar-20,47.8,44.47,47.81,44.31,7.54%
01-Mar-20,44.45,43.37,44.58,43.37,-1.51%
28-Feb-20,45.13,46.7,46.79,43.73,-3.28%
27-Feb-20,46.66,48.24,48.38,45.76,-3.32%
26-Feb-20,48.26,50.02,50.27,48.09,-3.50%
25-Feb-20,50.01,51.27,51.83,49.55,-2.46%
24-Feb-20,51.27,51.88,52.09,50.27,-1.16%
23-Feb-20,51.87,52.37,52.42,51.48,-2.54%
21-Feb-20,53.22,53.28,53.62,52.34,-0.08%
20-Feb-20,53.26,53.52,54.39,53.17,-0.50%
19-Feb-20,53.53,52.17,53.55,51.94,2.63%
18-Feb-20,52.16,51.97,52.19,50.91,0.40%
17-Feb-20,51.95,52.09,52.21,51.8,-0.31%
16-Feb-20,52.11,52.22,52.34,52.09,-0.17%
14-Feb-20,52.2,51.41,52.3,51.31,1.58%
13-Feb-20,51.39,51.47,51.89,50.59,-0.12%
12-Feb-20,51.45,50.12,51.95,50.08,2.65%
11-Feb-20,50.12,49.8,50.67,49.7,0.68%
10-Feb-20,49.78,49.74,50.44,49.44,0.08%
09-Feb-20,49.74,49.97,50.14,49.55,-1.19%
07-Feb-20,50.34,51.41,51.41,50.08,-2.08%
06-Feb-20,51.41,51.17,52.14,50.23,0.41%
05-Feb-20,51.2,49.61,51.84,49.59,3.27%
04-Feb-20,49.58,49.91,51.52,49.32,-0.60%
03-Feb-20,49.88,51.02,51.94,49.64,-2.23%
02-Feb-20,51.02,50.77,51.23,50.77,-1.07%
31-Jan-20,51.57,52.84,53.31,50.95,-2.40%
30-Jan-20,52.84,53.09,53.16,51.64,-0.47%
29-Jan-20,53.09,53.73,54.33,52.8,-1.21%
28-Jan-20,53.74,52.92,54.02,52.64,1.57%
27-Jan-20,52.91,52.59,53.47,52.12,0.67%
26-Jan-20,52.56,53.37,53.55,52.16,-2.90%
24-Jan-20,54.13,55.62,55.91,53.84,-2.68%
23-Jan-20,55.62,56.08,56.12,54.73,-0.84%
22-Jan-20,56.09,58.24,58.33,56.03,-3.72%
21-Jan-20,58.26,58.66,58.8,57.66,-0.70%
20-Jan-20,58.67,59.23,59.27,58.52,-0.93%
19-Jan-20,59.22,59.33,59.62,59.19,0.77%
17-Jan-20,58.77,58.62,58.98,58.28,0.27%
16-Jan-20,58.61,58.13,58.87,57.58,0.84%
15-Jan-20,58.12,58.09,58.37,57.39,0.05%
14-Jan-20,58.09,58.13,58.72,57.77,-0.05%
13-Jan-20,58.12,58.92,59.28,57.95,-1.39%
