Date,Measure
2019-01-01,54
2019-01-02,64
2019-01-03,53
2019-01-04,91
2019-01-05,40
2019-01-06,20
2019-01-07,26
2019-01-08,69
2019-01-09,52
2019-01-10,52
2019-01-11,54
2019-01-12,29
2019-01-13,29
2019-01-14,60
2019-01-15,68
2019-01-16,85
2019-01-17,52
2019-01-18,0
2019-01-19,19
2019-01-20,65
2019-01-21,43
2019-01-22,42
2019-01-23,67
2019-01-24,34
2019-01-25,26
2019-01-26,77
2019-01-27,29
2019-01-28,59
2019-01-29,67
2019-01-30,42
2019-01-31,85
2019-02-01,61
2019-02-02,38
2019-02-03,66
2019-02-04,35
2019-02-05,51
2019-02-06,59
2019-02-07,92
2019-02-08,95
2019-02-09,38
2019-02-10,47
2019-02-11,74
2019-02-12,50
2019-02-13,50
2019-02-14,51
2019-02-15,44
2019-02-16,48
2019-02-17,19
2019-02-18,34
2019-02-19,100
2019-02-20,42
2019-02-21,34
2019-02-22,61
2019-02-23,19
2019-02-24,38
2019-02-25,33
2019-02-26,92
2019-02-27,65
2019-02-28,34
2019-03-01,52
2019-03-02,39
2019-03-03,39
2019-03-04,43
2019-03-05,69
2019-03-06,75
2019-03-07,60
2019-03-08,36
2019-03-09,49
2019-03-10,47
2019-03-11,60
2019-03-12,93
2019-03-13,25
2019-03-14,77
2019-03-15,78
2019-03-16,58
2019-03-17,0
2019-03-18,69
2019-03-19,74
2019-03-20,78
2019-03-21,97
2019-03-22,72
2019-03-23,88
2019-03-24,45
2019-03-25,85
2019-03-26,95
2019-03-27,60
2019-03-28,70
2019-03-29,27
2019-03-30,50
2019-03-31,68
2019-04-01,46
2019-04-02,8
2019-04-03,38
2019-04-04,30
2019-04-05,16
2019-04-06,9
2019-04-07,0
2019-04-08,38
2019-04-09,22
2019-04-10,0
2019-04-11,23
2019-04-12,24
2019-04-13,0
2019-04-14,0
2019-04-15,15
2019-04-16,15
2019-04-17,78
2019-04-18,33
2019-04-19,0
2019-04-20,0
2019-04-21,18
2019-04-22,0
2019-04-23,30
2019-04-24,46
2019-04-25,38
2019-04-26,8
2019-04-27,9
2019-04-28,26
2019-04-29,60
2019-04-30,15
2019-05-01,8
2019-05-02,38
2019-05-03,16
2019-05-04,9
2019-05-05,25
2019-05-06,30
2019-05-07,37
2019-05-08,8
2019-05-09,8
2019-05-10,8
2019-05-11,18
2019-05-12,9
2019-05-13,30
2019-05-14,45
2019-05-15,30
2019-05-16,31
2019-05-17,24
2019-05-18,9
2019-05-19,0
2019-05-20,30
2019-05-21,44
2019-05-22,44
2019-05-23,22
2019-05-24,8
2019-05-25,26
2019-05-26,0
2019-05-27,8
2019-05-28,0
2019-05-29,22
2019-05-30,30
2019-05-31,31
2019-06-01,52
2019-06-02,33
2019-06-03,7
2019-06-04,22
2019-06-05,22
2019-06-06,30
2019-06-07,39
2019-06-08,0
2019-06-09,17
2019-06-10,44
2019-06-11,7
2019-06-12,15
2019-06-13,59
2019-06-14,46
2019-06-15,0
2019-06-16,34
2019-06-17,38
2019-06-18,22
2019-06-19,30
2019-06-20,61
2019-06-21,55
2019-06-22,26
2019-06-23,17
2019-06-24,38
2019-06-25,61
2019-06-26,30
2019-06-27,22
2019-06-28,16
