Date,Price,Open,High,Low,Change %
21-Jul-20,21.081,19.918,21.148,19.858,5.80%
20-Jul-20,19.925,19.354,19.93,19.245,3.05%
17-Jul-20,19.335,19.155,19.405,18.925,0.73%
16-Jul-20,19.195,19.425,19.485,19.098,-1.13%
15-Jul-20,19.415,19.205,19.48,19.13,0.99%
14-Jul-20,19.225,19.115,19.3,18.87,0.63%
13-Jul-20,19.105,18.692,19.376,18.692,2.19%
10-Jul-20,18.695,18.695,18.82,18.479,0.05%
09-Jul-20,18.685,18.645,19.052,18.483,-0.59%
08-Jul-20,18.795,18.34,18.795,18.24,2.54%
07-Jul-20,18.33,18.245,18.378,17.987,0.52%
06-Jul-20,18.235,18.048,18.41,17.94,0.80%
03-Jul-20,18.09,18.05,18.11,17.929,0.78%
02-Jul-20,17.95,17.96,18.136,17.76,-0.11%
01-Jul-20,17.97,18.17,18.462,17.825,-1.05%
30-Jun-20,18.16,17.82,18.257,17.765,1.54%
29-Jun-20,17.885,17.813,17.965,17.675,0.62%
26-Jun-20,17.775,17.797,17.945,17.492,-0.73%
25-Jun-20,17.905,17.483,17.905,17.435,2.05%
24-Jun-20,17.545,17.86,18.075,17.415,-2.39%
23-Jun-20,17.975,17.84,18.028,17.663,0.70%
22-Jun-20,17.85,17.654,18.045,17.634,1.31%
19-Jun-20,17.62,17.53,17.82,17.36,0.54%
18-Jun-20,17.525,17.485,17.692,17.305,-0.60%
17-Jun-20,17.63,17.43,17.645,17.3,1.21%
16-Jun-20,17.42,17.378,17.6,17.23,-0.14%
15-Jun-20,17.445,17.457,17.586,16.955,-0.26%
12-Jun-20,17.49,17.615,17.772,17.383,-1.33%
11-Jun-20,17.725,18.124,18.17,17.475,-3.14%
10-Jun-20,18.3,17.533,18.315,17.524,3.89%
09-Jun-20,17.615,17.761,17.8,17.455,-1.65%
08-Jun-20,17.91,17.386,17.925,17.315,2.90%
05-Jun-20,17.405,17.76,17.815,17.215,-1.94%
04-Jun-20,17.75,17.75,17.868,17.45,0.31%
03-Jun-20,17.695,18.1,18.13,17.459,-2.35%
02-Jun-20,18.12,18.285,18.389,17.773,-0.96%
01-Jun-20,18.295,17.885,18.439,17.885,2.41%
29-May-20,17.865,17.43,17.935,17.263,2.38%
28-May-20,17.45,17.277,17.526,17.17,0.72%
27-May-20,17.325,17.12,17.38,16.849,1.14%
26-May-20,17.13,17.123,17.478,17.015,-0.70%
25-May-20,17.25,17.202,17.26,16.883,0.23%
22-May-20,17.21,17.01,17.257,16.703,0.70%
21-May-20,17.09,17.51,17.595,16.875,-2.45%
20-May-20,17.52,17.44,17.645,17.268,0.52%
19-May-20,17.43,16.995,17.5,16.963,1.37%
18-May-20,17.195,16.635,17.577,16.635,3.30%
15-May-20,16.645,15.875,16.74,15.76,4.78%
14-May-20,15.885,15.563,15.955,15.438,1.40%
13-May-20,15.665,15.446,15.665,15.327,1.49%
12-May-20,15.435,15.493,15.65,15.336,-0.90%
11-May-20,15.575,15.505,15.625,15.27,0.61%
08-May-20,15.48,15.35,15.646,15.21,-0.29%
07-May-20,15.525,14.842,15.528,14.819,3.88%
06-May-20,14.945,14.967,15.18,14.815,-0.66%
05-May-20,15.045,14.798,15.055,14.71,1.21%
04-May-20,14.865,14.974,15.082,14.726,-0.67%
01-May-20,14.965,14.948,15.065,14.735,-0.53%
30-Apr-20,15.045,15.27,15.515,14.715,-2.21%
29-Apr-20,15.385,15.194,15.4,15.084,1.12%
28-Apr-20,15.215,15.203,15.243,14.905,-0.52%
27-Apr-20,15.295,15.259,15.355,15.01,0.23%
24-Apr-20,15.26,15.255,15.406,15.025,-0.42%
23-Apr-20,15.325,15.093,15.455,14.96,0.99%
22-Apr-20,15.175,14.88,15.182,14.685,1.54%
21-Apr-20,14.945,15.318,15.35,14.52,-2.92%
20-Apr-20,15.395,15.146,15.448,15.049,1.42%
17-Apr-20,15.18,15.545,15.565,15.033,-2.97%
16-Apr-20,15.645,15.487,15.645,15.201,0.94%
15-Apr-20,15.5,15.759,15.795,15.265,-2.12%
14-Apr-20,15.835,15.361,15.86,15.333,2.33%
13-Apr-20,15.475,15.474,15.526,15.132,0.23%
10-Apr-20,15.44,15.44,15.47,15.41,-0.23%
09-Apr-20,15.475,14.974,15.575,14.907,2.48%
08-Apr-20,15.1,15.011,15.189,14.857,0.48%
07-Apr-20,15.028,15.02,15.507,14.84,0.15%
06-Apr-20,15.005,14.407,15.101,14.238,4.09%
03-Apr-20,14.415,14.495,14.588,14.262,-0.76%
02-Apr-20,14.525,13.948,14.565,13.895,3.57%
01-Apr-20,14.025,13.97,14.156,13.805,0.21%
31-Mar-20,13.995,14.057,14.258,13.852,-0.99%
30-Mar-20,14.135,14.535,14.595,13.81,-2.42%
27-Mar-20,14.485,14.405,14.661,14.179,0.56%
26-Mar-20,14.405,14.5,14.69,14.155,-0.35%
25-Mar-20,14.455,14.31,14.74,14.008,1.15%
24-Mar-20,14.29,13.28,14.365,13.173,7.65%
23-Mar-20,13.275,12.6,13.295,12.271,5.11%
20-Mar-20,12.63,12.097,13.028,11.995,4.08%
19-Mar-20,12.135,11.96,12.311,11.775,1.08%
18-Mar-20,12.005,12.61,12.905,11.64,-4.84%
17-Mar-20,12.615,12.845,13.255,12.119,-2.40%
16-Mar-20,12.925,15.094,15.121,11.792,-12.13%
13-Mar-20,14.71,15.837,15.88,14.44,-7.16%
12-Mar-20,15.845,16.75,16.941,15.512,-5.56%
11-Mar-20,16.778,16.897,17.127,16.67,-0.63%
10-Mar-20,16.885,16.99,17.215,16.8,-0.59%
09-Mar-20,16.985,17.335,17.532,16.555,-2.04%
06-Mar-20,17.338,17.43,17.589,17.049,-0.53%
05-Mar-20,17.43,17.208,17.47,17.14,1.31%
04-Mar-20,17.205,17.197,17.355,17.073,0.00%
03-Mar-20,17.205,16.748,17.478,16.715,2.71%
